errorNum	errorId	userId	filename	errorType	delay	row	occurredTimestamp	displayedTimestamp	solvedTimestamp	detailFirstOpenedTimestamp	detailLastOpenedTimestamp	solved	displayed	detailOpened	errorDuration	displayedDuration	classActiveDuration	firstDetailToSolvedDuration	lastDetailToSolvedDuration	detailOpenedDelay	updatedCount	setCursorCount	detailOpenedCount	classActivatedCount
2425	-1678437886	52_23_21_52_32_122_15	Pit.java	field is never used	60000	2	1518702723823	0	1518702725050	0	0	true	false	false	1227	0	1227	0	0	0	1	0	0	1
4347	1820159923	24_102_38_44_103_59_16	Pit.java	parameter is never used	30000	9	1518774625915	0	1518774626930	0	0	true	false	false	1015	0	1015	0	0	0	1	0	0	1
4468	969316142	24_102_38_44_41_57_16	Player.java	field is never used	60000	87	1518776700395	0	1518776701879	0	0	true	false	false	1484	0	1484	0	0	0	1	0	0	1
4797	-582996929	52_23_21_52_18_111_16	pit.java	field is never used	60000	6	1518788585062	0	1518788585502	0	0	true	false	false	440	0	440	0	0	0	1	0	0	1
2427	-1678437886	52_23_21_52_32_122_15	Pit.java	field is never used	60000	2	1518702727986	0	1518702728668	0	0	true	false	false	682	0	682	0	0	0	1	0	0	1
3065	215181305	0_21_93_34_33_0_16	Pit.java	cannot return a value from a method with void result type	15000	12	1518773788451	0	1518773798033	0	0	true	false	false	9582	0	9582	0	0	0	1	0	0	1
4795	-582996929	52_23_21_52_18_111_16	pit.java	field is never used	60000	6	1518788583556	0	1518788584142	0	0	true	false	false	586	0	586	0	0	0	1	0	0	1
5544	-437752801	52_23_21_52_32_13_16	GameManager.java	field is never used	60000	68	1518790540834	0	1518790543366	0	0	true	false	false	2532	0	2532	0	0	0	1	0	0	1
257	570542339	0_21_93_34_29_0_15	Pit.java	field is never used	60000	27	1518689179116	0	1518689180601	0	0	true	false	false	1485	0	1485	0	0	0	1	0	0	1
5260	-327659883	52_23_21_52_24_80_16	GameManager.java	field is never used	60000	25	1518788522143	0	1518788527159	0	0	true	false	false	5016	0	5016	0	0	0	1	0	0	1
2400	1464601235	52_23_21_52_26_34_15	Pit.java	parameter is never used	30000	11	1518704254981	1518704284981	1518704343296	0	0	true	true	false	88315	58315	88315	0	0	0	6	0	0	1
5605	1406855475	52_23_21_52_33_116_16	Pit.java	field is never used	60000	12	1518788285285	0	1518788296504	0	0	true	false	false	11219	0	11219	0	0	0	1	0	0	1
1137	-1650333954	24_102_38_44_43_51_15	Pit.java	access can be private	15000	14	1518688497537	0	1518688499026	0	0	true	false	false	1489	0	1489	0	0	0	1	0	0	1
5075	1223167891	52_23_21_52_22_61_16	Pit.java	parameter is never used	30000	10	1518789755307	0	1518789755803	0	0	true	false	false	496	0	496	0	0	0	1	0	0	1
